edp1,Hf1,Nm1,Am1,Im1,r1,Nd1,CT1,GCOOH*1,GM1,edp2,Hf2,Nm2,Am2,Im2,r2,ed2,CT2,GCOOH*2,GM2
3.33E-01,4.82E-01,2.90E-01,2.33E-01,4.64E-01,7.71E-01,5.00E-01,2.99E-01,2.67E-01,3.26E-01,5.00E-01,5.08E-01,6.60E-01,5.51E-01,2.44E-01,9.57E-01,6.25E-01,1.95E-01,5.00E-01,6.22E-02
1.00E+00,7.93E-01,6.60E-01,3.78E-01,6.40E-01,8.86E-01,7.50E-01,5.58E-01,6.29E-01,1.97E-01,1.67E-01,5.64E-01,1.00E-02,0.00E+00,2.74E-01,8.14E-01,3.75E-01,1.43E-01,5.82E-01,2.23E-01
8.33E-01,7.45E-01,7.40E-01,9.35E-01,8.92E-01,9.86E-01,8.75E-01,7.53E-01,4.78E-01,8.08E-01,6.67E-01,6.27E-01,3.80E-01,5.90E-01,3.57E-01,3.29E-01,7.50E-01,5.97E-01,7.84E-01,5.91E-01
6.67E-01,6.20E-01,7.40E-01,5.85E-01,2.84E-01,7.86E-01,7.50E-01,6.23E-01,4.09E-01,6.74E-01,6.67E-01,6.27E-01,3.80E-01,5.90E-01,3.57E-01,3.29E-01,7.50E-01,5.97E-01,7.84E-01,5.91E-01
0.00E+00,0.00E+00,5.00E-02,5.05E-01,0.00E+00,9.57E-01,2.50E-01,1.30E-01,2.03E-01,4.82E-01,6.67E-01,6.20E-01,7.40E-01,5.85E-01,2.84E-01,7.86E-01,7.50E-01,6.23E-01,4.09E-01,6.74E-01
5.00E-01,4.76E-01,6.60E-01,7.35E-01,8.95E-01,8.86E-01,6.25E-01,6.36E-01,4.40E-01,4.15E-02,6.67E-01,9.57E-01,3.90E-01,6.42E-01,3.31E-01,4.57E-01,1.00E+00,1.00E+00,6.81E-01,0.00E+00
6.67E-01,6.27E-01,3.80E-01,5.90E-01,3.57E-01,3.29E-01,7.50E-01,5.97E-01,7.84E-01,5.91E-01,8.33E-01,7.45E-01,7.40E-01,9.35E-01,8.92E-01,9.86E-01,8.75E-01,7.53E-01,4.78E-01,8.08E-01
1.00E+00,5.83E-02,0.00E+00,2.05E-01,2.81E-02,6.71E-01,0.00E+00,0.00E+00,4.01E-01,4.66E-01,1.00E+00,7.55E-01,3.60E-01,6.18E-01,3.92E-01,0.00E+00,1.00E+00,6.49E-01,8.97E-01,6.53E-01
6.67E-01,6.27E-01,3.80E-01,5.90E-01,3.57E-01,3.29E-01,7.50E-01,5.97E-01,7.84E-01,5.91E-01,3.33E-01,4.82E-01,2.90E-01,2.33E-01,4.64E-01,7.71E-01,5.00E-01,2.99E-01,2.67E-01,3.26E-01
1.00E+00,7.55E-01,3.60E-01,6.18E-01,3.92E-01,0.00E+00,1.00E+00,6.49E-01,8.97E-01,6.53E-01,1.00E+00,5.83E-02,0.00E+00,2.05E-01,2.81E-02,6.71E-01,0.00E+00,0.00E+00,4.01E-01,4.66E-01
